id,date_added,date_removed,min,max,step,category,created_at,updated_at
1,"2015-05-07 11:53:21",NULL,100,2000,10,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
2,"2015-05-07 11:53:21",NULL,3,500,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
3,"2015-05-07 11:53:21",NULL,60,180,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
4,"2015-05-07 11:53:21",NULL,125,1500,125,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
5,"2015-05-07 11:53:21",NULL,600,2500,150,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
6,"2015-05-07 11:53:21",NULL,10,2500,10,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
7,"2015-05-07 11:53:21",NULL,25,700,25,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
8,"2015-05-07 11:53:21",NULL,2,12,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
9,"2015-05-07 11:53:21",NULL,150,1200,150,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
10,"2015-05-07 11:53:21",NULL,200,1600,100,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
11,"2015-05-07 11:53:21",NULL,20,60,1,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
12,"2015-05-07 11:53:21",NULL,500,8000,500,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
13,"2015-05-07 11:53:21",NULL,300,2400,10,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
14,"2015-05-07 11:53:21",NULL,400,1200,400,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
15,"2015-05-07 11:53:21",NULL,50,500,50,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
16,"2015-05-07 11:53:21",NULL,25,500,25,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
17,"2015-05-07 11:53:21",NULL,250,1500,250,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
18,"2015-05-07 11:53:21",NULL,50,200,50,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
19,"2015-05-07 11:53:21",NULL,5,45,5,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
20,"2015-05-07 11:53:21",NULL,300,4800,300,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
21,"2015-05-07 11:53:21",NULL,25,600,25,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
22,"2015-05-07 11:53:21",NULL,500,2000,250,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
23,"2015-05-07 11:53:21",NULL,1,3,0.5,1,"2015-08-10 10:16:39","2015-08-10 10:16:39"
24,"2015-05-07 11:53:21",NULL,75,200,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
25,"2015-05-07 11:53:21",NULL,10,250,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
26,"2015-05-07 11:53:21",NULL,75,225,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
27,"2015-05-07 11:53:21",NULL,75,300,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
28,"2015-05-07 11:53:21",NULL,10,300,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
29,"2015-05-07 11:53:21",NULL,140,210,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
30,"2015-05-07 11:53:21",NULL,30,150,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
31,"2015-05-07 11:53:21",NULL,10,300,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
32,"2015-05-07 11:53:21",NULL,30,90,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
33,"2015-05-07 11:53:21",NULL,100,600,50,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
34,"2015-05-07 11:53:21",NULL,0.25,1.5,0.25,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
35,"2015-05-07 11:53:21",NULL,25,1000,25,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
36,"2015-05-07 11:53:21",NULL,3,18,3,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
37,"2015-05-07 11:53:21",NULL,0.75,20,0.25,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
38,"2015-05-07 11:53:21",NULL,10,1000,10,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
39,"2015-05-07 11:53:21",NULL,15,300,15,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
40,"2015-05-07 11:53:21",NULL,4,24,1,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
41,"2015-05-07 11:53:21",NULL,2,20,2,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
42,"2015-05-07 11:53:21",NULL,12.5,100,2.5,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
43,"2015-05-07 11:53:21",NULL,25,200,25,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
44,"2015-05-07 11:53:21",NULL,200,2400,200,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
45,"2015-05-07 11:53:21",NULL,2,6,1,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
46,"2015-05-07 11:53:21",NULL,20,150,10,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
47,"2015-05-07 11:53:21",NULL,50,400,50,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
48,"2015-05-07 11:53:21",NULL,50,1200,50,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
49,"2015-05-07 11:53:21",NULL,5.25,30,0.25,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
50,"2015-05-07 11:53:21",NULL,12.5,450,12.5,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
51,"2015-05-07 11:53:21",NULL,18.5,148,18.5,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
52,"2015-05-07 11:53:21",NULL,2.5,20,2.5,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
53,"2015-05-07 11:53:21",NULL,6,12,3,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
54,"2015-05-07 11:53:21",NULL,25,800,25,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
55,"2015-05-07 11:53:21",NULL,0.5,16,0.5,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
56,"2015-07-22 09:29:25",NULL,300,1500,25,14,"2015-08-10 10:16:39","2015-08-10 10:16:39"
57,"2015-07-22 09:29:26",NULL,0,10,1,14,"2015-08-10 10:16:39","2015-08-10 10:16:39"
58,"2015-07-22 09:29:27",NULL,5,10,5,11,"2015-08-10 10:16:39","2015-08-10 10:16:39"
59,"2015-07-22 09:29:27",NULL,16,40,4,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
60,"2015-07-22 09:29:37",NULL,5,20,5,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
61,"2015-07-22 09:29:28",NULL,20,60,20,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
62,"2015-07-22 09:29:28",NULL,50,300,50,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
63,"2015-07-22 09:29:29",NULL,20,50,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
64,"2015-07-22 09:29:29",NULL,50,200,50,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
65,"2015-07-22 09:29:30",NULL,30,120,30,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
66,"2015-07-22 09:29:30",NULL,75,375,75,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
67,"2015-07-22 09:29:30",NULL,7.5,45,7.5,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
68,"2015-07-22 09:29:31",NULL,15,30,14,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
69,"2015-07-22 09:29:31",NULL,15,60,15,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
70,"2015-07-22 09:29:32",NULL,10,30,10,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
71,"2015-07-22 09:29:32",NULL,150,600,150,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
72,"2015-07-22 09:29:32",NULL,25,50,25,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
73,"2015-07-22 09:29:33",NULL,4,12,1,4,"2015-08-10 10:16:39","2015-08-10 10:16:39"
74,"2015-07-22 09:29:33",NULL,0,0,0,14,"2020-10-21 09:35:40","2020-10-21 09:35:40"
